대분류,지번주소 (읍/면/동),관할주소,인구[명],교통량(AADT),숙박업소(관광지수),상권밀집도(비율),추천_대분류,추천_유사도
가설건축,부산광역시 강서구 성북동 1536,부산광역시,4017,31070,0,0.02,판매시설,0.7739926658622209
가설건축,부산광역시 강서구 대저2동 4294-8,부산광역시,6338,31660,2,0.19,기타,0.9377030796296997
가설건축,부산광역시 남구 용당동 123,부산광역시,8463,22984,3,0.03,판매시설,0.8841636262923835
가설건축,부산광역시 영도구 동삼동 1002,부산광역시,8657,22984,10,0.01,판매시설,0.7184810522024258
가설건축,부산광역시 해운대구 송정동 100-1,부산광역시,9104,22984,109,0.03,숙박시설,0.8330336406776974
가설건축,부산광역시 남구 우암동 173-78,부산광역시,11943,22984,0,0.01,판매시설,0.9240725850284653
가설건축,부산광역시 강서구 송정동 1707-5,부산광역시,39671,31070,22,0.05,자동차관련시설,0.737896375479985
가설건축,부산광역시 강서구 화전동 559,부산광역시,39671,31070,22,0.05,자동차관련시설,0.737896375479985
가설건축,서울특별시 마포구 연남동 240-34,서울특별시,14713,196415,0,0.04,기타,0.9899151181353468
가설건축,서울특별시 마포구 대흥동 272-2,서울특별시,16483,196415,24,0.02,가설건축,0.9747995923104816
가설건축,서울특별시 용산구 신계동 3-17,서울특별시,16714,62251,5,0.03,공동주택,0.9753568054487218
가설건축,서울특별시 마포구 도화동 173,서울특별시,20491,196415,2,0.03,기타,0.9862573950264678
가설건축,서울특별시 구로구 오류동 81-24,서울특별시,23223,9736,13,0.02,공동주택,-0.198287258733283
가설건축,서울특별시 송파구 방이동 39-2,서울특별시,25888,25582,33,0.04,자동차관련시설,0.2440442332930815
가설건축,서울특별시 구로구 고척동 60-8,서울특별시,26432,196415,2,0.02,가설건축,0.9918365284131272
가설건축,서울특별시 서초구 서초동 1720-7,서울특별시,30140,62251,14,0.08,자동차관련시설,0.9399036755323386
가설건축,서울특별시 영등포구 영등포동4가 442,서울특별시,30206,196415,87,0.1,가설건축,0.9001612771546329
가설건축,서울특별시 송파구 잠실동 40-1,서울특별시,31835,25582,1,0.01,자동차관련시설,0.40994904537202337
가설건축,울산광역시 동구 일산동 954-5,울산광역시,5325,23213,19,0.05,숙박시설,0.4756841766579412
가설건축,울산광역시 울주군 웅촌면 검단리 1059-3,울산광역시,8725,15330,3,0.04,기타,0.5029364118680607
가설건축,울산광역시 울주군 웅촌면 검단리 79,울산광역시,8725,37631,3,0.04,가설건축,0.13617642595807203
가설건축,울산광역시 남구 매암동 379-171,울산광역시,8939,23213,5,0.05,기타,0.20020624580548163
가설건축,울산광역시 남구 황성동 830,울산광역시,13590,23213,0,0.03,가설건축,0.7435469806955556
가설건축,울산광역시 울주군 청량읍 상남리 496-1,울산광역시,18102,20222,2,0.03,가설건축,0.9785066918125436
가설건축,울산광역시 울주군 온산읍 삼평리 569-4,울산광역시,24417,16876,14,0.03,자동차관련시설,0.9425060515726845
가설건축,울산광역시 울주군 온산읍 산암리 150-5,울산광역시,24417,23213,14,0.03,자동차관련시설,0.9827272075116438
가설건축,울산광역시 북구 연암동 62,울산광역시,29237,30691,9,0.04,자동차관련시설,0.9245976510342504
가설건축,울산광역시 북구 매곡동 174-5,울산광역시,42437,27722,1,0.01,자동차관련시설,0.9786835095424313
가설건축,인천광역시 중구 항동7가 126,인천광역시,5668,26544,25,0.09,숙박시설,0.3600071426971645
가설건축,인천광역시 중구 항동7가 82-4,인천광역시,5668,26544,25,0.09,숙박시설,0.3600071426971645
가설건축,인천광역시 중구 항동7가 112-7,인천광역시,5668,26544,25,0.09,숙박시설,0.3600071426971645
가설건축,인천광역시 중구 항동7가 112,인천광역시,5668,26544,25,0.09,숙박시설,0.3600071426971645
가설건축,인천광역시 연수구 동춘동 911-10,인천광역시,24108,26544,1,0.01,공장,0.949211440335596
가설건축,인천광역시 서구 오류동 1543,인천광역시,26690,51589,8,0.04,가설건축,0.9013123929028585
가설건축,인천광역시 서구 오류동 1642-7,인천광역시,26690,51589,8,0.04,가설건축,0.9013123929028585
가설건축,인천광역시 서구 오류동 434-184,인천광역시,26690,51589,8,0.04,가설건축,0.9013123929028585
가설건축,인천광역시 미추홀구 학익동 587-84(학익1동),인천광역시,31035,26544,0,0.01,판매시설,0.9745958531610123
가설건축,인천광역시 연수구 송도동 406,인천광역시,38403,26544,3,0.02,판매시설,0.9814219836746927
가설건축,전라남도 여수시 율촌면 여동리 355,전라남도,5614,51436,5,0.03,공동주택,0.4251475161339186
가설건축,전라남도 여수시 율촌면 취적리 303-1,전라남도,5614,51436,5,0.03,공동주택,0.4251475161339186
가설건축,전라남도 광양시 황금동 114-6,전라남도,6256,23216,0,0.03,공동주택,0.9161093053224841
가설건축,전라남도 광양시 황길동 1392,전라남도,6256,11124,0,0.03,공동주택,0.9819153238013993
가설건축,전라남도 광양시 도이동 780-2,전라남도,6256,11124,0,0.03,공동주택,0.9819153238013993
가설건축,전라남도 여수시 소라면 대포리 653,전라남도,20534,50574,22,0.02,가설건축,0.6205426359147952
가설건축,전라남도 여수시 소라면 대포리 29-2,전라남도,20534,50574,22,0.02,가설건축,0.6205426359147952
가설건축,전라남도 영암군 삼호읍 산호리 634-9,전라남도,30828,13022,40,0.02,업무시설,0.8237614210545285
가설건축,전라남도 광양시 중동,전라남도,56681,11124,42,0.02,가설건축,0.843168113131024
가설건축,전라남도 광양시 중동 1477,전라남도,56681,11124,42,0.02,가설건축,0.843168113131024
가설건축,전북특별자치도 김제시 죽산면 옥성리 226-5,전북특별자치도,2106,15084,0,0.03,기타,0.9335027826671825
가설건축,전북특별자치도 군산시 임피면 읍내리 495-1,전북특별자치도,3701,19111,9,0.03,기타,0.9243774219967981
가설건축,전북특별자치도 남원시 조산동 271-2,전북특별자치도,5965,1652,5,0.03,공동주택,0.9326153713671446
가설건축,전북특별자치도 김제시 흥사동 300-3,전북특별자치도,10750,19316,22,0.05,숙박시설,0.9503170207205818
가설건축,전북특별자치도 전주시 덕진구 장동 550-12,전북특별자치도,16206,49737,1,0.03,업무시설,0.8803089728150163
가설건축,전북특별자치도 군산시 오식도동 839,전북특별자치도,20898,3875,43,0.04,근린생활시설,0.16035584895414387
가설건축,전북특별자치도 전주시 완산구 삼천동3가 485-1,전북특별자치도,21476,35443,0,0.03,업무시설,0.9236176261218589
가설건축,전북특별자치도 완주군 봉동읍 용암리 411-4,전북특별자치도,25931,10492,14,0.02,가설건축,0.8348055710570027
가설건축,전북특별자치도 전주시 덕진구 만성동 707-4,전북특별자치도,36280,15769,0,0.02,가설건축,0.7760060925234951
가설건축,전북특별자치도 전주시 완산구 원당동 73-22,전북특별자치도,43311,18273,0,0.01,가설건축,0.7152317668871154
가설건축,제주특별자치도 제주시 봉개동 1795-1,제주특별자치도,5197,5254,2,0.02,공장,0.2831245730854014
가설건축,제주특별자치도 서귀포시 토평동 3278-4,제주특별자치도,5379,19773,14,0.03,기타,0.5405453321670859
가설건축,제주특별자치도 서귀포시 토평동 935-2,제주특별자치도,5379,19773,14,0.03,기타,0.5405453321670859
가설건축,제주특별자치도 제주시 한경면 용수리 4186-2,제주특별자치도,9316,2940,19,0.04,공장,0.6543652418284085
가설건축,제주특별자치도 제주시 한경면 청수리 1315,제주특별자치도,9316,2152,19,0.04,공장,0.6545021044420986
가설건축,제주특별자치도 서귀포시 표선면 성읍리 372-7,제주특별자치도,12172,10514,37,0.03,공장,0.9963697204321829
가설건축,제주특별자치도 제주시 화북이동 4998-5,제주특별자치도,23355,35338,1,0.02,공동주택,0.32543036121489405
가설건축,제주특별자치도 제주시 조천읍 신촌리 85,제주특별자치도,24995,6834,67,0.03,업무시설,0.9705812973261034
가설건축,제주특별자치도 제주시 조천읍 대흘리 629,제주특별자치도,24995,6834,67,0.03,업무시설,0.9705812973261034
가설건축,제주특별자치도 제주시 연동 2474,제주특별자치도,43976,54135,133,0.03,판매시설,0.9906171466620364
가설건축,충청남도 공주시 송선동 637-4,충청남도,15562,17597,0,0.02,가설건축,0.36578741996376085
가설건축,충청남도 천안시 서북구 성정동 721-8,충청남도,18124,54979,33,0.02,판매시설,0.7558069488826338
가설건축,충청남도 부여군 부여읍 가증리 214-2,충청남도,18159,1317,31,0.04,공동주택,0.7695794566850767
가설건축,충청남도 아산시 실옥동 199-2,충청남도,19312,29758,2,0.01,가설건축,0.7099329690635849
가설건축,충청남도 아산시 음봉면 산동리 449-1,충청남도,21660,19838,41,0.03,공동주택,0.7649664330557452
가설건축,충청남도 천안시 서북구 성거읍 소우리 175-17,충청남도,21806,34811,7,0.02,자동차관련시설,0.8864546832713237
가설건축,충청남도 천안시 서북구 성거읍 저리 44-15,충청남도,21806,34811,7,0.02,자동차관련시설,0.8864546832713237
가설건축,충청남도 천안시 동남구 용곡동 289-9,충청남도,21829,24639,1,0.02,가설건축,0.8144136786268236
가설건축,충청남도 아산시 신창면 남성리 506,충청남도,32158,25047,2,0.01,가설건축,0.9630407659968011
가설건축,충청남도 홍성군 홍성읍 내법리 396-6,충청남도,37640,10780,30,0.03,근린생활시설,0.9068459681613376
가설건축,충청북도 음성군 삼성면 덕정리 28-1,충청북도,8443,5500,4,0.04,기타,0.9227754895611993
가설건축,충청북도 청주시 서원구 남이면 척산리 263,충청북도,9737,28239,13,0.05,숙박시설,0.6753506655826216
가설건축,충청북도 청주시 흥덕구 강내면 연정리 160-1,충청북도,12627,9722,3,0.02,공장,0.9958808498870023
가설건축,충청북도 음성군 맹동면 봉현리 248-1,충청북도,13860,8796,8,0.03,기타,0.9457247809198281
가설건축,충청북도 청주시 청원구 내수읍 구성리 280,충청북도,19095,31846,11,0.02,근린생활시설,0.8920588413584928
가설건축,충청북도 음성군 금왕읍 오선리 528,충청북도,22411,10301,21,0.03,업무시설,0.8620039262017012
가설건축,충청북도 옥천군 옥천읍 교동리 84-1,충청북도,27972,9212,22,0.03,가설건축,0.8967578203133721
가설건축,충청북도 청주시 서원구 성화동 185-7,충청북도,47463,38488,0,0.01,자동차관련시설,0.9724946979808775
가설건축,충청북도 청주시 청원구 율량동 1489,충청북도,48080,33926,4,0.02,가설건축,0.963752589046162
가설건축,충청북도 청주시 청원구 오창읍 탑리 230-4,충청북도,68963,41483,35,0.02,가설건축,0.8962199737285372
공동주택,강원특별자치도 양양군 서면 논화리 165,강원특별자치도,2477,2120,24,0.04,기타,0.9425716270231973
공동주택,강원특별자치도 강릉시 강동면 안인진리 181,강원특별자치도,3848,8498,53,0.04,숙박시설,0.9548076351124176
공동주택,강원특별자치도 횡성군 둔내면 조항리 150,강원특별자치도,6063,2125,35,0.03,공동주택,0.9704656363487698
공동주택,강원특별자치도 원주시 소초면 흥양리 1390-1,강원특별자치도,7989,11201,12,0.04,판매시설,0.9971948981443464
공동주택,강원특별자치도 원주시 일산동 247-137,강원특별자치도,8788,17545,5,0.02,가설건축,0.8666031056814102
공동주택,강원특별자치도 고성군 토성면 학야리 223-2,강원특별자치도,9709,21363,72,0.03,공동주택,0.7320430954790493
공동주택,강원특별자치도 강릉시 포남동 1005-359,강원특별자치도,10670,8976,20,0.05,공장,0.9275062749045143
공동주택,강원특별자치도 영월군 영월읍 영흥리 1033-103,강원특별자치도,19506,2916,20,0.03,자동차관련시설,0.9218872626199067
공동주택,강원특별자치도 영월군 영월읍 영흥리 877-3,강원특별자치도,19506,16516,20,0.03,업무시설,0.9470024360525089
공동주택,강원특별자치도 홍천군 홍천읍 연봉리 466-8,강원특별자치도,32605,21962,41,0.03,업무시설,0.720545126321161
공동주택,경기도 안성시 죽산면 죽산리 597,경기도,7910,24706,14,0.03,숙박시설,-0.3250042215970504
공동주택,경기도 부천시 오정구 오정동 546-6,경기도,19518,40984,1,0.02,기타,0.8695342829570787
공동주택,경기도 광명시 소하동 881-1,경기도,26028,28922,5,0.01,공장,0.9128368798400976
공동주택,경기도 수원시 권선구 세류동 677-7,경기도,26464,78521,10,0.02,업무시설,0.9951374024783214
공동주택,경기도 용인시 처인구 남동 324-6,경기도,28600,71471,38,0.03,업무시설,0.8922148345453113
공동주택,경기도 양주시 덕계동 588-14,경기도,34223,76500,6,0.01,공동주택,0.9755239953525043
공동주택,경기도 양주시 회정동 66-1,경기도,34223,41228,6,0.01,공장,0.9909845260496113
공동주택,경기도 용인시 수지구 풍덕천동 69-47,경기도,34556,42915,12,0.02,공장,0.9832890963338876
공동주택,경기도 용인시 처인구 역북동 412,경기도,35586,68277,5,0.02,공동주택,0.9865189998805861
공동주택,경기도 화성시 신동 779,경기도,38437,15383,0,0.01,자동차관련시설,0.9129444729315359
공동주택,경상남도 창원시 진해구 경화동 1156-8,경상남도,3599,36957,0,0.01,공동주택,0.8058430521412832
공동주택,경상남도 밀양시 부북면 춘화리 783,경상남도,5252,8729,8,0.03,숙박시설,0.9568321460570225
