field5,field6,_CLEANADDR,_PNU,_X,_Y,공시지가,공시일자,특수지구분명,데이터기준일자
풍양농협주유소,전라남도 고흥군 고흥로1166 (풍양면),전라남도 고흥군 고흥로 1166 (풍양면),4677031022105180003,127.2410046847568,34.5754244381042,125000,2025-04-30,일반,2025-06-18
오예스주유소,충청남도 천안시 서북구 쌍용대로274 (성정동),충청남도 천안시 서북구 쌍용대로 274 (성정동),4413310200106490009,127.1366937606198,36.82170474955504,1522000,2025-01-24,일반,2025-06-18
성림셀프주유소,경상남도 김해시 가야로446-1 (동상동),경상남도 김해시 가야로 445 (동상동),4825010100110990000,128.88451648543335,35.241360174768786,990300,2025-04-30,일반,2025-06-18
달성공원주유소,대구광역시 중구 달성로115 (달성동),대구광역시 중구 달성로 116 (수창동),2711013000101040013,128.5820873734965,35.875661891022915,,,,
e-편한주유소,대구광역시 동구 아양로139 (신암동),대구광역시 동구 아양로 133 (신암동),2714010100101390069,128.6258676305144,35.886993584215304,1900000,2025-04-30,일반,2025-06-18
현대오일뱅크㈜직영 이천제일셀프주유소,경기도 이천시 경충대로1960 (대월면),경기도 이천시 경충대로 1960 (대월면),4150035026103820006,127.49940319005988,37.24363409756773,354900,2025-04-30,일반,2025-06-18
유림주유소,경기도 오산시 역광장로1 (오산동),경기도 오산시 역광장로 2 (오산동),4137010100108850006,127.0683538873722,37.142552720035646,2614000,2025-04-30,일반,2025-06-18
서부산새마을금고주유소,부산광역시 사하구 낙동대로527 (하단동),부산광역시 사하구 낙동대로 527 (하단동),2638010300104980022,128.9647944220343,35.111077040675646,3078000,2025-04-30,일반,2025-06-18
(주)안국에너지 대구지사 안국주유소,대구광역시 달서구 성서공단로329 (장동),대구광역시 달서구 성서공단로 328 (월성동),2729012000117880000,128.51870309875892,35.83594025218472,880300,2025-04-30,일반,2025-06-18
믿음가득주유소,경상남도 합천군 동부로191 (율곡면),경상남도 합천군 동부로 191 (율곡면),4889035034107300005,128.1769498140098,35.56505756064389,75000,2025-04-30,일반,2025-06-18
승전주유소,충청남도 당진시 면천로70 (구룡동),충청남도 당진시 면천로 70 (구룡동),4427011100105520005,126.61156911940154,36.8306142694892,71900,2025-04-30,일반,2025-06-18
성원주유소,경상북도 포항시 북구 동해대로1430 (흥해읍),경상북도 포항시 북구 동해대로 1430 (흥해읍),4711325024103030000,129.34289185359538,36.100461385957736,638600,2025-04-30,일반,2025-06-18
만남의주유소,충청북도 음성군 충청대로1639 (음성읍),충청북도 음성군 충청대로 1639 (음성읍),4377025024102740006,127.71187980260888,36.94562710832599,116000,2025-04-30,일반,2025-06-18
(주)광동유통 단양(하)주유소,충청북도 단양군 하방3길100 (단성면),충청북도 단양군 하방3길 100 (단성면),4380036025100560000,128.322219670548,36.942810347155735,184800,2025-04-30,일반,2025-06-18
㈜지일에너지 통일주유소,경기도 파주시 우계로119 (파주읍),경기도 파주시 우계로 119 (파주읍),4148025326103170002,126.81528836576364,37.8370138251208,515900,2025-04-30,일반,2025-06-18
천인주유소,충청남도 천안시 서북구 서부대로368 (쌍용동),충청남도 천안시 서북구 서부대로 368 (쌍용동),4413310700112350000,127.1270537410966,36.8001714931084,1516000,2025-04-30,일반,2025-06-18
123주유소,충청남도 부여군 왕릉로422 (석성면),충청남도 부여군 왕릉로 422 (석성면),4476044025102280005,126.97927262592846,36.26835094922161,52700,2025-04-30,일반,2025-06-18
잼버리주유소,강원도 춘천시 가락재로1356 (동면),강원특별자치도 춘천시 가락재로 1356 (동면),5111031030103250000,127.85100690154488,37.86116723300317,40100,2025-04-30,일반,2025-06-18
남악주유소,전라남도 구례군 화엄사로30 (마산면),전라남도 구례군 화엄사로 30 (마산면),4673034026103770004,127.48186616481246,35.21308712461375,88300,2025-01-24,일반,2025-06-18
SK네트웍스(주)거산주유소,대구광역시 북구 호국로303 (서변동),대구광역시 북구 호국로 303 (서변동),2723011500101400007,128.59837394671743,35.928956154593365,772500,2025-01-24,일반,2025-06-18
지평주유소,경기도 양평군 지평로239 (지평면),경기도 양평군 지평로 239 (지평면),4183039522100190001,127.63434112126632,37.48821544094899,267600,2025-01-24,일반,2025-06-18
더원홀딩스(주),광주광역시 남구 서문대로37(이장동),광주광역시 남구 서문대로 37 (이장동),2915512700101020000,126.8593369721628,35.0805181571288,316200,2025-04-30,일반,2025-06-18
SK네트웍스(주) 우암주유소,충청북도 청주시 청원구 향군로44 (우암동),충청북도 청주시 청원구 향군로 43 (우암동),4311410100103500002,127.48594892874044,36.64956769524248,1233000,2025-01-24,일반,2025-06-18
