행정구역,순위,인구 천명당 사업체수(개),비율(%),lat,lon
경기도 파주시 탄현면,168.0,285.0,0.06,37.8025424016272,126.716245034905
전북특별자치도 익산시 용동면,169.0,284.95,0.06,36.1099073917245,126.993047411928
경상북도 경주시 황오동,170.0,283.48,0.06,35.8415891036536,129.217963372889
부산광역시 금정구 금사회동동,171.0,283.25,0.06,35.2327755088754,129.121637494094
경기도 파주시 월롱면,172.0,282.97,0.06,37.796138372362,126.790219928738
충청북도 청주시 청원구 북이면,173.0,282.62,0.06,36.7390178651797,127.541653839717
부산광역시 부산진구 범천1동,174.0,281.03,0.06,35.1470238040658,129.061018201172
울산광역시 중구 중앙동,175.0,280.55,0.06,35.5575146884562,129.324031347949
전북특별자치도 정읍시 시기동,176.0,280.23,0.06,35.5655544416477,126.849319927102
전북특별자치도 익산시 망성면,177.0,280.19,0.06,36.1325912095577,127.020654905072
서울특별시 용산구 남영동,178.0,278.32,0.06,37.5430061454345,126.973322683547
전북특별자치도 군산시 서수면,179.0,277.02,0.06,35.9835777915917,126.875754026942
서울특별시 강남구 청담동,180.0,276.64,0.06,37.5250293348772,127.049233039691
대전광역시 중구 은행선화동,181.0,275.42,0.06,36.3324194888785,127.416657701429
서울특별시 영등포구 당산1동,182.0,275.41,0.06,37.5249733938377,126.89738449562
대구광역시 서구 상중이동,183.0,275.2,0.06,35.8669731583545,128.546144518807
경상북도 영천시 남부동,184.0,274.19,0.06,35.9414668779546,128.935177469174
경상북도 경주시 황남동,185.0,273.08,0.06,35.8353030004241,129.211339429787
충청북도 청주시 상당구 중앙동,186.0,272.28,0.06,36.6398448126547,127.488193889174
경상남도 창원시 의창구 팔룡동,187.0,271.36,0.06,35.2554256323431,128.612831808011
전북특별자치도 김제시 용지면,188.0,271.18,0.06,35.8536958379483,126.955505336972
경상남도 창원시 마산합포구 진북면,189.0,270.78,0.06,35.1154620567239,128.46744816659
강원특별자치도 춘천시 남산면,190.0,270.08,0.06,37.79186457822,127.646194579037
충청남도 천안시 동남구 풍세면,191.0,269.64,0.06,36.7222012528491,127.118735814078
대구광역시 달서구 월성2동,192.0,268.57,0.05,35.8309608940895,128.52828413591
경상남도 함안군 법수면,193.0,268.33,0.05,35.3155064178081,128.355445979808
전라남도 장성군 동화면,194.0,267.74,0.05,35.2842845356821,126.738797095148
서울특별시 서초구 서초1동,195.0,267.67,0.05,37.4901474659138,127.019530273485
경기도 김포시 월곶면,196.0,266.92,0.05,37.7150895643421,126.552911756013
충청북도 청주시 서원구 남이면,197.0,266.92,0.05,36.5606695601299,127.433608017124
경기도 화성시 장안면,198.0,266.62,0.05,37.0797644844941,126.831328957097
경기도 시흥시 신현동,199.0,265.32,0.05,37.4056791931327,126.784581754731
경기도 광주시 도척면,200.0,264.76,0.05,37.3045727355777,127.331124360872
경상북도 경주시 천북면,201.0,264.43,0.05,35.8952836531316,129.27117476585
전라남도 신안군 신의면,202.0,264.35,0.05,34.5848391991981,126.088366082745
울산광역시 울주군 삼동면,203.0,264.21,0.05,35.5237326829463,129.157621044622
강원특별자치도 양양군 현남면,204.0,263.52,0.05,37.9692314024179,128.759480350041
경상북도 경주시 중부동,205.0,263.44,0.05,,
강원특별자치도 홍천군 서면,206.0,263.17,0.05,37.6885985446756,127.664103886782
경기도 평택시 통복동,207.0,262.96,0.05,37.0008027064571,127.087288337454
경상남도 하동군 화개면,208.0,262.5,0.05,35.1883820741369,127.625447752166
경상북도 상주시 동성동,209.0,262.24,0.05,36.4153164814755,128.169774915513
경기도 고양시 일산동구 고봉동,210.0,262.11,0.05,37.7018996394151,126.827221391262
대전광역시 대덕구 오정동,211.0,261.87,0.05,36.3538403567361,127.409900161618
제주특별자치도 제주시 우도면,212.0,261.69,0.05,33.5064494277481,126.952985318412
인천광역시 서구 석남2동,213.0,261.5,0.05,37.5025060089161,126.674599076297
경기도 화성시 비봉면,214.0,260.37,0.05,37.2351736371896,126.873400895969
경기도 성남시 중원구 상대원2동,215.0,260.23,0.05,37.4328960826533,127.159205385058
대전광역시 중구 유천1동,216.0,260.01,0.05,36.3150670357114,127.39524343471
경상북도 고령군 개진면,217.0,259.55,0.05,35.7081141858921,128.350137315986
서울특별시 구로구 구로2동,218.0,258.59,0.05,37.4913926941214,126.883499417136
전북특별자치도 군산시 중앙동,219.0,256.89,0.05,35.9859732695608,126.717364536241
경기도 성남시 중원구 상대원1동,220.0,256.64,0.05,37.4332385925515,127.16438100593
경기도 화성시 서신면,221.0,256.29,0.05,37.1665728218833,126.708732190777
광주광역시 광산구 임곡동,222.0,255.84,0.05,35.2196169520792,126.744786274005
경기도 양주시 광적면,223.0,255.42,0.05,37.8246285211534,126.983684913461
강원특별자치도 속초시 금호동,224.0,255.21,0.05,38.2084328043156,128.581820407059
경기도 안성시 원곡면,225.0,254.68,0.05,37.0413570597829,127.131761959403
충청남도 보령시 대천5동,226.0,252.59,0.05,36.3170192324943,126.515216651314
광주광역시 동구 서남동,227.0,251.34,0.05,35.1449516763169,126.923162098047
전북특별자치도 김제시 황산면,228.0,251.21,0.05,35.7945496933625,126.942630824358
경상북도 포항시 북구 죽도동,229.0,251.16,0.05,36.0311497498972,129.36326916046
서울특별시 종로구 가회동,230.0,250.78,0.05,37.5800968068427,126.984784487479
대구광역시 북구 검단동,231.0,250.21,0.05,35.9137608202922,128.629790623083
강원특별자치도 동해시 발한동,232.0,249.32,0.05,37.5484323855262,129.107922043297
대구광역시 중구 남산1동,233.0,248.77,0.05,35.8593406275678,128.590440088879
대구광역시 중구 동인동,234.0,247.41,0.05,35.8678902715489,128.609144033992
서울특별시 강남구 압구정동,235.0,246.98,0.05,37.5306686414268,127.030809170421
충청북도 청주시 서원구 현도면,236.0,246.86,0.05,36.4865462583334,127.424177444023
전북특별자치도 남원시 보절면,237.0,246.68,0.05,35.5131166158313,127.402363960098
광주광역시 동구 동명동,238.0,246.15,0.05,35.151197552853,126.925153593919
충청북도 제천시 한수면,239.0,246.13,0.05,36.8851008387052,128.081867979206
부산광역시 기장군 장안읍,240.0,245.79,0.05,35.3124310915546,129.244826464264
서울특별시 용산구 이태원1동,241.0,245.75,0.05,37.5325069970311,126.99509883212
전북특별자치도 정읍시 북면,242.0,245.75,0.05,35.6092231273671,126.892232805233
인천광역시 중구 동인천동,243.0,245.47,0.05,37.4768011707515,126.629009570448
전라남도 목포시 목원동,244.0,245.11,0.05,34.7929009833563,126.382789429409
울산광역시 동구 일산동,245.0,244.88,0.05,35.4990783464726,129.431363575857
충청북도 제천시 청풍면,246.0,243.86,0.05,37.0005174868218,128.168191739045
경기도 안산시 단원구 초지동,247.0,243.84,0.05,37.3100013406105,126.816873385207
전북특별자치도 정읍시 농소동,248.0,243.67,0.05,35.5892094066853,126.841926982366
경상남도 함안군 산인면,249.0,243.32,0.05,35.2792851044269,128.424298980621
경기도 안양시 만안구 안양7동,250.0,243.04,0.05,37.3914477125499,126.933707720063
경기도 고양시 일산동구 장항1동,251.0,242.79,0.05,37.6416537178263,126.770564074384
경기도 안양시 만안구 안양4동,252.0,241.99,0.05,37.3965159274602,126.917860885183
경기도 양주시 양주1동,253.0,241.48,0.05,37.7732127270764,127.043762782212
부산광역시 동구 초량3동,254.0,241.34,0.05,35.1213070229154,129.039784953661
강원특별자치도 강릉시 포남1동,255.0,241.14,0.05,37.76787428933,128.908124468741
경상남도 통영시 명정동,256.0,240.93,0.05,34.8524095365059,128.412672556184
전북특별자치도 익산시 낭산면,257.0,239.32,0.05,36.0780797165021,127.009849599816
충청남도 공주시 반포면,258.0,239.16,0.05,36.3969104717602,127.250273653201
경기도 가평군 북면,259.0,238.58,0.05,37.8881266033117,127.549275493771
경상북도 김천시 자산동,260.0,238.2,0.05,36.1223057105429,128.127771350855
경기도 포천시 군내면,261.0,238.12,0.05,37.8890227837264,127.217800979652
강원특별자치도 고성군 죽왕면,262.0,238.1,0.05,38.3287596789233,128.525205848883
경기도 파주시 광탄면,263.0,237.7,0.05,37.7761506126284,126.851257899494
부산광역시 강서구 녹산동,264.0,237.18,0.05,35.1191396429152,128.882378803697
충청남도 공주시 웅진동,265.0,236.58,0.05,36.4559373477169,127.104397666726
서울특별시 마포구 합정동,266.0,236.23,0.05,37.5516618139957,126.911756414276
경기도 부천시 원미구 춘의동,267.0,235.68,0.05,37.5026880955634,126.785904754648
경상남도 함안군 칠북면,268.0,235.5,0.05,35.3467294308858,128.521698772522
경상남도 함안군 칠서면,269.0,235.14,0.05,35.3335797053279,128.497956344549
경상북도 문경시 점촌2동,270.0,234.93,0.05,36.5900185632562,128.19628757474
경상북도 구미시 장천면,271.0,234.57,0.05,36.1259075819695,128.495079752531
전북특별자치도 익산시 팔봉동,272.0,234.34,0.05,35.9650364132009,127.011587137339
경기도 동두천시 중앙동,273.0,233.45,0.05,37.9077500762619,127.053230310907
경기도 평택시 신평동,274.0,233.2,0.05,36.9899712390591,127.092640841049
경상북도 포항시 북구 중앙동,275.0,232.49,0.05,36.0380085580606,129.36762752992
세종특별자치시 세종시 나성동,276.0,232.15,0.05,36.4890988968745,127.263975556135
경상남도 김해시 부원동,277.0,232.1,0.05,35.2287280519006,128.886559224998
서울특별시 서초구 반포4동,278.0,231.88,0.05,37.4974688612417,127.000307593388
전라남도 나주시 왕곡면,279.0,231.79,0.05,34.9681568794246,126.669794352802
경기도 안산시 단원구 중앙동,280.0,231.28,0.05,37.3238246626019,126.837635740617
전라남도 여수시 대교동,281.0,231.07,0.05,34.735540819255,127.721305209245
경상북도 경산시 중앙동,282.0,230.57,0.05,35.8198138457564,128.740179174918
광주광역시 광산구 송정2동,283.0,229.45,0.05,35.1366256906513,126.797261764255
강원특별자치도 양양군 강현면,284.0,229.36,0.05,38.1499826978456,128.607652116524
경기도 성남시 분당구 야탑1동,285.0,229.2,0.05,37.4120531369385,127.130271335047
부산광역시 사상구 괘법동,286.0,229.04,0.05,35.1637613818616,128.987191072181
전북특별자치도 부안군 진서면,287.0,228.79,0.05,35.5876433577577,126.605432861743
울산광역시 남구 야음장생포동,288.0,228.66,0.05,35.5199569895583,129.340132400342
경상북도 경산시 와촌면,289.0,228.1,0.05,35.9463299059503,128.836515129986
경기도 화성시 동탄5동,290.0,227.25,0.05,37.2102438090657,127.104008280465
충청북도 충주시 칠금·금릉동,291.0,226.92,0.05,36.982124669975,127.919046610961
강원특별자치도 원주시 판부면,292.0,226.89,0.05,37.2682792088618,128.01295599715
제주특별자치도 서귀포시 천지동,293.0,226.7,0.05,33.2478169929893,126.561281643722
서울특별시 영등포구 문래동,294.0,226.32,0.05,37.5171112504905,126.899485634762
울산광역시 남구 삼산동,295.0,226.28,0.05,35.5444169723478,129.331864527423
경기도 안성시 양성면,296.0,226.18,0.05,37.0598978252949,127.194477629958
경기도 김포시 양촌읍,297.0,226.09,0.05,37.6571252239981,126.625498579495
전북특별자치도 정읍시 신태인읍,298.0,225.95,0.05,35.6877238337461,126.8868731141
제주특별자치도 제주시 이도1동,299.0,225.89,0.05,33.506940204328,126.526976882752
전북특별자치도 익산시 춘포면,300.0,225.8,0.05,35.9009295782777,127.005263838552
경기도 수원시 팔달구 매산동,301.0,224.0,0.05,37.2687383804217,127.005673219593
충청북도 단양군 매포읍,302.0,223.65,0.05,37.0323174958159,128.303392511581
전북특별자치도 김제시 공덕면,303.0,222.55,0.05,35.8923614866414,126.912912363272
경기도 안산시 단원구 대부동,304.0,222.25,0.05,37.2437201876214,126.585285091658
전북특별자치도 남원시 인월면,305.0,222.05,0.05,35.4646689824063,127.599707059916
광주광역시 서구 농성2동,306.0,221.95,0.05,35.1503453243822,126.890255692999
전라남도 목포시 신흥동,307.0,221.28,0.05,34.7988473632899,126.418831882088
충청남도 서천군 서면,308.0,220.93,0.05,36.1529530300702,126.549520993675
경상북도 안동시 풍산읍,309.0,220.73,0.05,36.580157750403,128.57205509491
전북특별자치도 김제시 요촌동,310.0,220.56,0.05,35.8052069705823,126.891450914315
경상남도 진주시 상평동,311.0,220.28,0.05,35.1760856990492,128.109103586641
경상북도 구미시 신평1동,312.0,220.13,0.05,36.1208683301555,128.359271767834
서울특별시 종로구 이화동,313.0,220.01,0.05,37.5769946840177,127.004338052474
경상남도 창원시 마산합포구 산호동,314.0,219.64,0.04,35.2160543574231,128.585977212791
경상남도 김해시 대동면,315.0,219.28,0.04,35.2422910007499,128.980274090239
인천광역시 부평구 청천1동,316.0,219.1,0.04,37.519841283762,126.701916736828
경기도 광주시 남한산성면,317.0,218.71,0.04,37.4633196400432,127.244655878545
충청북도 보은군 속리산면,318.0,218.71,0.04,36.5121159593931,127.810350567255
서울특별시 종로구 숭인2동,319.0,218.57,0.04,37.5748775396923,127.01996896628
경기도 연천군 중면,320.0,218.54,0.04,38.1358210039276,127.019107970488
충청북도 괴산군 사리면,321.0,217.95,0.04,36.8169178280639,127.648700350185
충청남도 공주시 중학동,322.0,217.94,0.04,36.447583717442,127.124865773054
전북특별자치도 완주군 동상면,323.0,217.43,0.04,35.9368938766855,127.296774242915
인천광역시 남동구 논현고잔동,324.0,217.23,0.04,37.3976877393359,126.726469984007
경기도 안산시 단원구 호수동,325.0,217.04,0.04,37.310301084212,126.824403501419
충청북도 음성군 삼성면,326.0,216.98,0.04,37.0183861898225,127.495041369601
대구광역시 군위군 소보면,327.0,216.92,0.04,36.2549801744472,128.475262006979
전북특별자치도 군산시 해신동,328.0,216.03,0.04,35.989371006516,126.707624788823
경상북도 경산시 남천면,329.0,215.98,0.04,35.7666300311355,128.726857131324
전북특별자치도 부안군 보안면,330.0,215.78,0.04,35.6121432981842,126.671283402311
대전광역시 중구 문창동,331.0,215.4,0.04,36.3162160271414,127.437915923805
전북특별자치도 군산시 미성동,332.0,214.79,0.04,35.9577243776246,126.657606352199
