adm_cd,population,traffic,tourism,commercial_density,full_name
3023058000,6520.0,19795.0,0.0,0.04,
3023060000,12262.0,19795.0,0.0,0.01,
3111051000,10635.0,20222.0,23.0,0.03,
3111053000,8310.0,6121.0,2.0,0.02,
3111058500,11221.0,20222.0,47.0,0.06,
3111059000,16892.0,13171.5,8.0,0.01,
3111060000,31022.0,20222.0,4.0,0.02,
3111061000,21362.0,20222.0,0.0,0.02,
3111063000,19514.0,29701.333333333332,0.0,0.01,
3111065000,20264.0,6121.0,0.0,0.02,
3114051000,17815.0,20222.0,31.0,0.02,
3114052000,23987.0,20222.0,32.0,0.02,
3114053000,15536.0,20222.0,45.0,0.02,
3114054000,19631.0,20222.0,5.0,0.02,
3114055000,8299.0,20222.0,0.0,0.03,
3114056000,26067.0,20222.0,31.0,0.03,
3114058500,19557.0,20222.0,1.0,0.03,
3114060000,24377.0,20222.0,0.0,0.02,
3114062500,32296.0,20222.0,10.0,0.01,
3114064000,13590.0,23213.0,0.0,0.03,
3114067000,8939.0,23213.0,5.0,0.05000000000000001,
3117052000,5325.0,23213.0,19.0,0.05000000000000001,
3117053000,18749.0,23213.0,12.0,0.01,
3117055000,15187.0,30691.0,11.0,0.01,
3117060000,11791.0,30691.0,1.0,0.01,
3120052000,42437.0,27722.0,1.0,0.01,
3120056000,29237.0,30691.0,9.0,0.04,
3171025000,24417.0,21628.75,14.0,0.03,울산광역시 울주군 온산읍
3171025300,31333.0,17639.0,11.0,0.02,울산광역시 울주군 언양읍
3171026200,18102.0,20222.0,2.0,0.03,울산광역시 울주군 청량읍
3171026500,22317.0,15587.0,13.0,0.02,울산광역시 울주군 삼남읍
3171031000,8170.0,15959.333333333334,38.0,0.03,울산광역시 울주군 서생면
3171034000,8725.0,26480.5,3.0,0.04,울산광역시 울주군 웅촌면
3171038000,8089.0,9549.0,59.0,0.03,울산광역시 울주군 상북면
4111353000,26464.0,78521.0,10.0,0.02,
4111356000,38146.0,111190.33333333333,0.0,0.02,
4111566000,13799.0,78521.0,117.0,0.05,
4111574000,10412.0,78521.0,57.0,0.06,
4111752000,14229.0,30954.0,0.0,0.02,
4111755000,34738.0,30954.0,0.0,0.02,
4111758000,25353.0,30954.0,0.0,0.03,
4113555000,28602.0,42915.0,10.0,0.03,
4113558000,29265.0,42915.0,15.0,0.04,
4113565500,25764.0,42915.0,1.0,0.02,
4113566200,26213.0,42915.0,1.0,0.02,
4113568000,32833.0,38832.0,0.0,0.01,
4115057600,31255.0,40447.0,0.0,0.01,
4117157000,15018.0,62251.0,0.0,0.05,
4117355900,17925.0,62251.0,13.0,0.09000000000000001,
4117356600,25462.0,62251.0,10.0,0.03,
4119263000,40175.0,9736.0,5.0,0.03,
4119453000,29659.0,9736.0,8.0,0.01,
4119456000,30969.0,9736.0,0.0,0.02,
4119458000,23416.0,9736.0,5.0,0.02,
4119656000,19518.0,40984.0,1.0,0.02,
4119657000,18716.0,40984.0,1.0,0.08,
4121064000,29759.0,28922.0,1.0,0.02,
4121065000,26028.0,28922.0,5.0,0.01,
4121065500,21138.0,28922.0,1.0,0.04,
4122025600,29369.0,19312.0,25.0,0.02,경기도 평택시 포승읍
4122025900,28391.0,40468.0,4.0,0.02,경기도 평택시 청북읍
4122032000,4712.0,9029.0,0.0,0.07,경기도 평택시 서탄면
4122034000,6600.0,39299.0,5.0,0.03,경기도 평택시 오성면
4127354500,31309.0,41640.0,10.0,0.03,
4127361000,8864.0,7662.0,17.0,0.05,
4128156000,23173.0,6312.0,0.0,0.01,
4128160000,35104.0,32415.0,5.0,0.02,
4128167000,15617.0,196415.0,0.0,0.02,
4128551000,39963.0,17524.0,0.0,0.02,
4128554000,36070.0,17524.0,0.0,0.02,
4128555100,27963.0,182903.0,3.0,0.02,
4128559000,26392.0,182903.0,7.0,0.08,
4129055000,6608.0,62251.0,0.0,0.07,
4136036000,3525.0,7657.0,2.0,0.02,경기도 남양주시 조안면
4137055000,32313.0,52009.0,4.0,0.02,
4145063000,29409.0,50311.0,0.0,0.03,
4146134000,8488.0,11935.0,2.0,0.04,경기도 용인시 처인구 원삼면
4146135000,9072.0,13810.0,8.0,0.03,경기도 용인시 처인구 백암면
4146151000,28600.0,71471.0,38.0,0.03,
4146152500,35586.0,68277.0,5.0,0.02,
4146351000,37250.0,57560.0,17.0,0.01,
4146351600,29243.0,57560.0,0.0,0.02,
4146351700,18789.0,57560.0,0.0,0.02,
4146354000,20648.0,49684.5,7.0,0.04,
4146355000,28347.0,53568.0,8.0,0.02,
4146551000,34556.0,42915.0,12.0,0.02,
4146553000,39020.0,38832.0,0.0,0.01,
4148026200,28741.0,23810.0,6.0,0.03,경기도 파주시 조리읍
4148031000,9623.0,2335.0,4.0,0.06,경기도 파주시 월롱면
4148032000,14484.0,7675.0,48.0,0.06,경기도 파주시 탄현면
4148054000,8028.0,29911.0,2.0,0.14,
4148060000,19611.0,41069.0,0.0,0.01,
4155040000,7910.0,24706.0,14.0,0.03,경기도 안성시 죽산면
4157035000,7373.0,33801.0,6.0,0.05,경기도 김포시 월곶면
4159036000,15311.0,46868.333333333336,17.0,0.10000000000000002,경기도 화성시 팔탄면
