대분류,지번주소 (읍/면/동),관할주소,인구[명],교통량(AADT),숙박업소(관광지수),상권밀집도(비율),위도,경도,adm_cd2,parcel_300m,parcel_500m,nearest_parcel_m,poi_store_300m,poi_hotel_300m,poi_restaurant_300m
가설건축,대전광역시 대덕구 법동 402-11,대전광역시,12262,19795,0,0.01,36.37481647,127.4247379,3023060000.0,451,1334,0.0,2,0,11
가설건축,대전광역시 대덕구 상서동 326-128,대전광역시,13275,19795,5,0.03,36.42281665,127.4235942,3023057000.0,387,959,0.0,1,0,1
가설건축,대전광역시 중구 선화동 159-4,대전광역시,13975,14337,41,0.06,36.33595696,127.4162978,3014053500.0,837,1663,0.0,6,0,39
가설건축,대전광역시 중구 선화동 79-1,대전광역시,13975,14337,41,0.06,36.33323766,127.4208009,3014053500.0,507,1769,0.0,2,0,24
가설건축,대전광역시 동구 하소동 52,대전광역시,19742,20520,5,0.02,36.22404433,127.4445922,3011074000.0,546,948,0.0,0,0,4
가설건축,대전광역시 유성구 구암동 202-2,대전광역시,27075,16850,89,0.04,36.35206374,127.3240548,3020053000.0,525,1202,0.0,0,0,0
가설건축,대전광역시 유성구 탑립동 346,대전광역시,33635,19795,3,0.03,36.41529595,127.4157832,3020060000.0,104,242,0.0,0,0,0
가설건축,대전광역시 유성구 탑립동 393-5,대전광역시,33635,19795,3,0.03,36.4138578,127.416013,3020060000.0,95,311,0.0,0,0,1
가설건축,부산광역시 강서구 봉림동 641-6,부산광역시,2037,30599,0,0.1,35.1944074,128.8939374,2644055000.0,609,1311,0.0,0,0,0
가설건축,부산광역시 강서구 죽림동 178,부산광역시,2037,30599,0,0.1,35.20406533,128.9017025,2644055000.0,388,777,0.0,0,0,0
가설건축,부산광역시 강서구 성북동 1536,부산광역시,4017,31070,0,0.02,35.06231254,128.8039919,,6,29,0.0,1,0,0
가설건축,부산광역시 강서구 대저2동 4294-8,부산광역시,6338,31660,2,0.19,35.15470649,128.9436457,2644052000.0,174,735,0.0,0,0,1
가설건축,부산광역시 남구 용당동 123,부산광역시,8463,22984,3,0.03,35.11351132,129.0986065,2629061000.0,126,551,0.0,1,0,2
가설건축,부산광역시 영도구 동삼동 1002,부산광역시,8657,22984,10,0.01,35.06489686,129.0813718,2620066000.0,776,1481,0.0,1,2,19
가설건축,부산광역시 해운대구 송정동 100-1,부산광역시,9104,22984,109,0.03,35.1916976,129.2049492,2635056000.0,363,851,0.0,1,0,5
가설건축,부산광역시 남구 우암동 173-78,부산광역시,11943,22984,0,0.01,35.12403658,129.0756059,2629064500.0,1225,2785,0.0,1,1,8
가설건축,부산광역시 강서구 송정동 1707-5,부산광역시,39671,31070,22,0.05,35.08832945,128.8417741,2644056000.0,81,209,0.0,0,0,1
가설건축,부산광역시 강서구 화전동 559,부산광역시,39671,31070,22,0.05,35.10995166,128.8834966,2644056000.0,313,1121,0.0,4,1,23
가설건축,서울특별시 마포구 연남동 240-34,서울특별시,14713,196415,0,0.04,37.56495759,126.9230006,1144071000.0,1117,2630,0.0,7,11,56
가설건축,서울특별시 마포구 대흥동 272-2,서울특별시,16483,196415,24,0.02,37.54784296,126.9415327,1144060000.0,1236,2761,0.0,8,3,44
가설건축,서울특별시 용산구 신계동 3-17,서울특별시,16714,62251,5,0.03,37.53382289,126.9686035,1117062500.0,706,2174,0.0,4,0,33
가설건축,서울특별시 마포구 도화동 173,서울특별시,20491,196415,2,0.03,37.5422192,126.9478951,1144059000.0,522,1948,0.0,18,4,36
가설건축,서울특별시 구로구 오류동 81-24,서울특별시,23223,9736,13,0.02,37.49415865,126.8389051,1153077000.0,842,2306,0.0,8,3,38
가설건축,서울특별시 송파구 방이동 39-2,서울특별시,25888,25582,33,0.04,37.5156228,127.1105896,1171056200.0,546,1025,0.0,17,34,43
가설건축,서울특별시 구로구 고척동 60-8,서울특별시,26432,196415,2,0.02,37.50524859,126.8699017,1153072000.0,117,808,0.0,1,2,3
가설건축,서울특별시 서초구 서초동 1720-7,서울특별시,30140,62251,14,0.08,37.49306088,127.0077256,1165053000.0,264,783,0.0,5,0,42
가설건축,서울특별시 영등포구 영등포동4가 442,서울특별시,30206,196415,87,0.1,37.51711244,126.9030703,1156053500.0,957,2700,0.0,10,6,46
가설건축,서울특별시 송파구 잠실동 40-1,서울특별시,31835,25582,1,0.01,37.51221427,127.0984017,1171068000.0,22,57,0.0,7,1,44
가설건축,울산광역시 동구 일산동 954-5,울산광역시,5325,23213,19,0.05,35.49677724,129.4292547,3117052000.0,366,1510,0.0,10,9,132
가설건축,울산광역시 울주군 웅촌면 검단리 1059-3,울산광역시,8725,15330,3,0.04,35.45953994,129.1763947,3171034000.0,391,958,0.0,1,0,0
가설건축,울산광역시 울주군 웅촌면 검단리 79,울산광역시,8725,37631,3,0.04,35.45613193,129.1900429,3171034000.0,514,928,0.0,0,0,1
가설건축,울산광역시 남구 매암동 379-171,울산광역시,8939,23213,5,0.05,35.51051827,129.3723678,3114067000.0,508,790,0.0,0,0,0
가설건축,울산광역시 남구 황성동 830,울산광역시,13590,23213,0,0.03,35.45896698,129.3643813,3114064000.0,28,80,0.0,1,0,1
