대분류,지번주소 (읍/면/동),관할주소,인구[명],교통량(AADT),숙박업소(관광지수),상권밀집도(비율)
공동주택,경남 창원시 진해구 용원동 1347-1,경상남도 창원시 진해구 웅동2동,45382,31070,29,0.02
공동주택,경남 창원시 진해구 용원동 1347,경상남도 창원시 진해구 웅동2동,45382,31070,29,0.02
공동주택,경남 통영시 도남동 510-2,경상남도 통영시 봉평동,9363,9785,14,0.02
공동주택,경남 진주시 칠암동 507-10,경상남도 진주시 천전동,28921,77777,26,0.02
공동주택,경북 김천시 율곡동 798,경상북도 김천시 율곡동,22628,17661,5,0.02
공동주택,경북 경산시 사정동 3-16,경상북도 경산시 서부1동,33419,20197,8,0.02
공동주택,경북 경주시 황오동 43,경상북도 경주시 황오동,5937,25475,155,0.06
공동주택,경북 경주시 황성동 1067-10,경상북도 경주시 황성동,26785,25475,2,0.02
공동주택,경북 포항시 남구 연일읍 생지리 188,경상북도 포항시 남구 연일읍,28659,37969,1,0.02
공동주택,광주 북구 중흥동 599-28,광주광역시 북구 중흥동,15147,97671,2,0.02
공동주택,광주 남구 방림동 447-15,광주광역시 남구 방림1동,6678,97671,3,0.01
공동주택,광주 광산구 수완동 189,광주광역시 광산구 비아동,7778,63810,,0.08
공동주택,광주 광산구 쌍암동 694-106,광주광역시 광산구 첨단2동,43941,63810,14,0.02
공동주택,광주 서구 화정동 70-60,광주광역시 서구 화정1동,15641,134317,13,0.02
공동주택,대구 수성구 만촌동 386-7,대구광역시 수성구 만촌1동,20922,27690,3,0.02
공동주택,대구 중구 남산동 934-7,대구광역시 중구 남산2동,7099,135921,2,0.03
공동주택,대구 서구 비산동 227-1,대구광역시 서구 비산4동,8910,156089,3,0.02
공동주택,대구 달성군 가창면 우록리 10,대구광역시 달성군 가창면,7288,12940,8,0.02
공동주택,대구 수성구 범어동 45-5,대구광역시 수성구 범어2동,14227,27690,,0.03
공동주택,대전 동구 낭월동 190-1,대전광역시 동구 산내동,19742,46935,5,0.02
공동주택,대전 서구 만년동 306,대전광역시 서구 만년동,12178,71595,,0.03
공동주택,대전 서구 둔산동 939,대전광역시 서구 둔산2동,33962,71595,21,0.03
공동주택,대전 서구 변동 252-77,대전광역시 서구 변동,14062,44361,1,0.03
공동주택,대전 서구 둔산동 928,대전광역시 서구 둔산2동,33962,83786,21,0.03
공동주택,부산 북구 구포동 1216-4,부산광역시 북구 구포3동,19679,74754,,0.01
공동주택,부산 해운대구 우동 760-3,부산광역시 해운대구 우1동,21937,48622,94,0.03
공동주택,부산 부산진구 부전동 474-80,부산광역시 부산진구 부전1동,15192,74754,68,0.08
공동주택,부산 남구 대연동 760-8,부산광역시 남구 대연4동,12743,48622,1,0.01
공동주택,부산 수영구 민락동 181-88,부산광역시 수영구 민락동,27041,48622,129,0.02
공동주택,서울 동작구 상도동 302-44,서울특별시 동작구 상도3동,23835,113301,1,0.01
공동주택,서울 중랑구 상봉동 100,서울특별시 중랑구 상봉1동,22784,67898,,0.02
공동주택,서울 강남구 역삼동 719-24,서울특별시 강남구 역삼2동,34689,203917,23,0.03
공동주택,서울 마포구 서교동 494,서울특별시 마포구 서교동,25611,196415,24,0.1
공동주택,서울 양천구 목동 917-9,서울특별시 양천구 목1동,28848,190133,1,0.03
공동주택,울산 중구 동동 471-1,울산광역시 중구 병영2동,19514,30691,,0.01
공동주택,울산 남구 삼산동 1612-2,울산광역시 남구 삼산동,47809,23213,104,0.05
공동주택,울산 중구 동동 471-9,울산광역시 중구 병영2동,19514,30691,,0.01
공동주택,울산 중구 성안동 393-2,울산광역시 중구 성안동,20264,6121,37,0.02
공동주택,울산 중구 남외동 325-7,울산광역시 중구 병영1동,20501,6121,4,0.02
공동주택,인천 미추홀구 주안동 422-45,인천광역시 미추홀구 주안4동,17551,110764,3,0.02
공동주택,인천 연수구 송도동 30-6,인천광역시 연수구 송도4동,29428,60971,3,0.02
공동주택,인천 미추홀구 주안동 57-18,인천광역시 미추홀구 주안6동,21792,110764,27,0.02
공동주택,인천 서구 왕길동 661-15,인천광역시 서구 오류왕길동,26690,75388,8,0.04
공동주택,인천 계양구 계산동 1062,인천광역시 계양구 계산4동,22408,163653,5,0.04
공동주택,전남 장성군 장성읍 영천리 973-18,전라남도 장성군 장성읍,12715,31694,14,0.03
공동주택,전남 무안군 삼향읍 남악리 1476,전라남도 무안군 삼향읍,38936,29336,6,0.02
공동주택,전남 장성군 북이면 사거리 685-9,전라남도 장성군 북이면,2561,7204,3,0.03
공동주택,전남 강진군 성전면 월평리 430-18,전라남도 강진군 성전면,2578,12338,2,0.04
공동주택,전남 나주시 빛가람동 334,전라남도 나주시 빛가람동,38238,57752,13,0.02
공동주택,전북특별자치도 부안군 부안읍 봉덕리 570-21,전북특별자치도 부안군 부안읍,19891,5644,29,0.03
공동주택,전북특별자치도 남원시 동충동 412-1,전북특별자치도 남원시 동충동,2983,6707,11,0.03
공동주택,전북특별자치도 전주시 덕진구 덕진동1가 1279-15,전북특별자치도 전주시 덕진구 덕진동,25042,29756,27,0.02
공동주택,전북특별자치도 전주시 완산구 효자동3가 1544-3,전북특별자치도 전주시 완산구 효자5동,36380,35443,16,0.03
공동주택,전북특별자치도 익산시 신동 735-21,전북특별자치도 익산시 신동,23893,4615,,0.02
공동주택,제주특별자치도 제주시 연동 261-23,제주특별자치도 제주시 연동,43976,54135,144,0.03
공동주택,제주특별자치도 제주시 한림읍 한림리 1526-7,제주특별자치도 제주시 한림읍,22389,7066,66,0.04
공동주택,제주특별자치도 제주시 애월읍 광령리 43,제주특별자치도 제주시 애월읍,37245,11151,197,0.03
공동주택,제주특별자치도 제주시 연동 263-2,제주특별자치도 제주시 연동,43976,54135,144,0.03
공동주택,제주특별자치도 제주시 연동 565,제주특별자치도 제주시 연동,43976,54135,144,0.03
공동주택,충남 천안시 서북구 성거읍 천흥리 494-9,충청남도 천안시 서북구 성거읍,21806,25639,7,0.02
공동주택,충남 천안시 서북구 불당동 1483,충청남도 천안시 서북구 불당2동,36091,54979,2,0.02
공동주택,충남 아산시 탕정면 용두리 730,충청남도 아산시 탕정면,47364,26464,1,0.01
공동주택,충남 당진시 신평면 도성리 209-2,충청남도 당진시 신평면,15418,20385,14,0.03
공동주택,충남 아산시 배방읍 장재리 1352-17,충청남도 아산시 배방읍,86956,71113,10,0.01
공동주택,충북 음성군 생극면 신양리 623-1,충청북도 음성군 생극면,5337,3544,3,0.03
공동주택,충북 충주시 대소원면 검단리 350-121,충청북도 충주시 대소원면,12817,34801,10,0.02
공동주택,충북 청주시 흥덕구 오송읍 쌍청리 108-37,충청북도 청주시 흥덕구 오송읍,31129,42283,7,0.02
공동주택,충북 음성군 맹동면 두성리 1463,충청북도 음성군 맹동면,13860,1999,8,0.03
공동주택,충북 청주시 흥덕구 오송읍 만수리 863,충청북도 청주시 흥덕구 오송읍,31129,25087,7,0.02
자동차관련시설,강원특별자치도 원주시 판부면 서곡리 517,강원특별자치도 원주시 판부면,7096,17545,8,0.05
자동차관련시설,강원특별자치도 원주시 호저면 만종리 324-4,강원특별자치도 원주시 호저면,3346,47596,4,0.06
자동차관련시설,강원특별자치도 원주시 무실동 643-7,강원특별자치도 원주시 무실동,34464,47596,9,0.02
자동차관련시설,강원특별자치도 춘천시 동면 장학리 786-80,강원특별자치도 춘천시 동면,19631,18836,25,0.03
자동차관련시설,강원특별자치도 원주시 행구동 1775-3,강원특별자치도 원주시 행구동,8605,19092,11,0.02
자동차관련시설,경기 화성시 장지동 812,경기도 화성시 동탄8동,32862,41037,,0.01
자동차관련시설,경기 화성시 오산동 458-1,경기도 화성시 동탄6동,42448,186262,3,0.02
자동차관련시설,경기 화성시 기산동 23-1,경기도 화성시 진안동,51009,30954,4,0.02
자동차관련시설,경기 수원시 영통구 매탄동 405-1,경기도 수원시 영통구 매탄3동,34738,30954,,0.02
자동차관련시설,경기 수원시 영통구 신동 532-3,경기도 수원시 영통구 영통2동,25353,30954,,0.03
자동차관련시설,경남 창원시 성산구 대원동 78,경상남도 창원시 성산구 중앙동,36021,51252,1031,0.04
자동차관련시설,경남 양산시 어곡동 440,경상남도 양산시 강서동,9471,15053,,0.04
자동차관련시설,경남 진주시 상대동 33-121,경상남도 진주시 상대동,19071,69709,53,0.04
자동차관련시설,경남 진주시 상평동 167-2,경상남도 진주시 상평동,11658,77777,32,0.05
자동차관련시설,경남 김해시 주촌면 내삼리 744-8,경상남도 김해시 주촌면,21119,63828,2,0.04
자동차관련시설,경북 포항시 북구 흥해읍 남송리 647,경상북도 포항시 북구 흥해읍,43013,47564,17,0.02
자동차관련시설,경북 포항시 남구 오천읍 문덕리 880-5,경상북도 포항시 남구 오천읍,56958,10758,35,0.02
자동차관련시설,경북 포항시 남구 연일읍 오천리 163-1,경상북도 포항시 남구 연일읍,28659,37969,1,0.02
자동차관련시설,경북 안동시 풍산읍 괴정리 42-1,경상북도 안동시 풍산읍,6089,25493,10,0.05
자동차관련시설,경북 경산시 진량읍 문천리 519-17,경상북도 경산시 진량읍,44028,43736,4,0.02
자동차관련시설,광주 남구 송하동 260-1,광주광역시 남구 송암동,22328,39702,,0.02
자동차관련시설,광주 광산구 송촌동 66,광주광역시 광산구 평동,7242,47995,2,0.07
자동차관련시설,광주 광산구 도천동 380-15,광주광역시 광산구 비아동,7778,46489,,0.08
자동차관련시설,광주 서구 화정동 180-1,광주광역시 서구 화정1동,15641,134317,13,0.02
자동차관련시설,광주 서구 세하동 171-34,광주광역시 서구 서창동,6034,39702,10,0.22
자동차관련시설,대구 북구 노원동3가 609,대구광역시 북구 노원동,10688,156089,10,0.14
자동차관련시설,대구 동구 용계동 1033,대구광역시 동구 안심2동,13270,86465,13,0.02
자동차관련시설,대구 달서구 장동 829,대구광역시 달서구 장기동,16567,66579,8,0.03
자동차관련시설,대구 서구 중리동 1165-10,대구광역시 서구 상중이동,19219,66579,3,0.06
자동차관련시설,대구 수성구 신매동 83-1,대구광역시 수성구 고산1동,30589,63177,,0.01
자동차관련시설,대전 동구 대성동 276-14,대전광역시 동구 산내동,19742,51477,5,0.02
자동차관련시설,대전 서구 탄방동 1483-8,대전광역시 서구 탄방동,26546,98950,3,0.03
자동차관련시설,대전 대덕구 상서동 292,대전광역시 대덕구 덕암동,13275,121120,5,0.03
자동차관련시설,대전 중구 산성동 142-1,대전광역시 중구 산성동,25634,44361,8,0.03
자동차관련시설,대전 서구 탄방동 518-2,대전광역시 서구 탄방동,26546,75255,3,0.03
자동차관련시설,부산 부산진구 가야동 256-9,부산광역시 부산진구 가야1동,20267,74557,,0.01
자동차관련시설,부산 연제구 거제동 23-6,부산광역시 연제구 거제1동,27662,70579,,0.02
자동차관련시설,부산 연제구 거제동 1470-2,부산광역시 연제구 거제1동,27662,70579,,0.02
자동차관련시설,부산 강서구 화전동 589-2,부산광역시 강서구 녹산동,39671,98977,6,0.05
자동차관련시설,부산 해운대구 재송동 561-2,부산광역시 해운대구 재송1동,35710,48622,23,0.03
자동차관련시설,서울 영등포구 양평동6가 1,서울특별시 영등포구 양평2동,22117,196415,9,0.03
자동차관련시설,서울 동작구 노량진동 20,서울특별시 동작구 노량진2동,11068,113301,3,0.03
자동차관련시설,서울 도봉구 방학동 708-2,서울특별시 도봉구 방학1동,27134,171081,3,0.02
자동차관련시설,서울 강서구 외발산동 233,서울특별시 강서구 발산1동,34799,190133,5,0.04
자동차관련시설,서울 마포구 성산동 590-3,서울특별시 마포구 성산2동,37637,196415,,0.02
자동차관련시설,울산 울주군 삼남읍 상천리 419-20,울산광역시 울주군 삼남읍,22317,15587,13,0.02
자동차관련시설,울산 북구 신천동 544-6,울산광역시 북구 농소2동,42437,27722,1,0.01
자동차관련시설,울산 북구 진장동 197,울산광역시 북구 효문동,29237,30691,9,0.04
자동차관련시설,울산 북구 효문동 815-7,울산광역시 북구 효문동,29237,30691,9,0.04
자동차관련시설,울산 북구 신천동 797,울산광역시 북구 농소2동,42437,27722,1,0.01
자동차관련시설,인천 미추홀구 도화동 378-15,인천광역시 미추홀구 도화1동,21608,110764,12,0.02
자동차관련시설,인천 남동구 고잔동 257-48,인천광역시 남동구 논현고잔동,44096,161915,,0.04
자동차관련시설,인천 서구 왕길동 420-2,인천광역시 서구 오류왕길동,26690,78767,8,0.04
자동차관련시설,인천 남동구 고잔동 306-2,인천광역시 남동구 논현고잔동,44096,161915,,0.04
자동차관련시설,인천 중구 신흥동3가 60-24,인천광역시 중구 신흥동,14505,60971,64,0.03
자동차관련시설,전남 나주시 금천면 원곡리 257,전라남도 나주시 금천면,6608,57752,6,0.01
자동차관련시설,전남 목포시 옥암동 1381-2,전라남도 목포시 부주동,22116,9845,2,0.01
자동차관련시설,전남 순천시 조례동 7,전라남도 순천시 왕조1동,37680,16890,13,0.02
자동차관련시설,전남 나주시 산포면 등정리 191,전라남도 나주시 산포면,2762,37168,,0.04
자동차관련시설,전남 목포시 옥암동 914-9,전라남도 목포시 옥암동,10816,9845,1,0.03
자동차관련시설,전북특별자치도 군산시 미룡동 587,전북특별자치도 군산시 나운3동,33686,10928,31,0.01
자동차관련시설,전북특별자치도 정읍시 공평동 328,전북특별자치도 정읍시 농소동,3714,42642,1,0.05
자동차관련시설,전북특별자치도 익산시 용제동 52,전북특별자치도 익산시 팔봉동,6802,36642,,0.05
자동차관련시설,전북특별자치도 군산시 개정면 아동리 699-7,전북특별자치도 군산시 개정면,2609,28839,,0.04
자동차관련시설,전북특별자치도 전주시 덕진구 만성동 362,전북특별자치도 전주시 덕진구 여의동,16206,46071,10,0.03
자동차관련시설,제주특별자치도 제주시 화북일동 2133-1,제주특별자치도 제주시 화북동,23355,33186,1,0.02
자동차관련시설,제주특별자치도 제주시 오라삼동 2811-4,제주특별자치도 제주시 오라동,15735,14084,17,0.03
자동차관련시설,제주특별자치도 제주시 화북일동 2131-3,제주특별자치도 제주시 화북동,23355,33186,1,0.02
자동차관련시설,제주특별자치도 제주시 아라이동 1622-3,제주특별자치도 제주시 아라동,42535,14084,10,0.02
자동차관련시설,제주특별자치도 제주시 애월읍 고성리 155,제주특별자치도 제주시 애월읍,37245,51187,197,0.03
자동차관련시설,충남 공주시 신관동 160-6,충청남도 공주시 신관동,23096,16008,36,0.03
자동차관련시설,충남 천안시 동남구 용곡동 133-1,충청남도 천안시 동남구 신방동,43783,27379,1,0.02
자동차관련시설,충남 천안시 서북구 쌍용동 878,충청남도 천안시 서북구 쌍용1동,13139,54979,18,0.03
자동차관련시설,충남 아산시 탕정면 동산리 128,충청남도 아산시 탕정면,47364,54979,1,0.01
자동차관련시설,충남 아산시 실옥동 92,충청남도 아산시 온양4동,19312,29758,2,0.01
자동차관련시설,충북 청주시 흥덕구 강서동 172-1,충청북도 청주시 흥덕구 강서1동,30676,38488,9,0.02
자동차관련시설,충북 충주시 금릉동 214-20,충청북도 충주시 칠금·금릉동,13824,2838,1,0.05
자동차관련시설,충북 청주시 청원구 오동동 6-1,충청북도 청주시 청원구 오근장동,17362,20081,2,0.04
자동차관련시설,충북 청주시 흥덕구 비하동 321-2,충청북도 청주시 흥덕구 강서1동,30676,70487,9,0.02
자동차관련시설,충북 청주시 흥덕구 봉명동 365-1,충청북도 청주시 흥덕구 봉명2·송정동,24433,33926,11,0.03
판매시설,서울특별시 서초구 방배동 937-1,서울특별시 서초구 방배1동,15568,,1,0.04
판매시설,서울특별시 성동구 성수동2가 322-13,서울특별시 성동구 성수2가1동,14856,,7,0.04
판매시설,서울특별시 광진구 자양동 6-20,서울특별시 광진구 자양4동,24515,,4,0.02
판매시설,서울특별시 영등포구 양평동4가 3-4,서울특별시 영등포구 양평2동,22117,,9,0.03
판매시설,서울특별시 강남구 신사동 534-18,서울특별시 강남구 신사동,14143,,9,0.08
판매시설,경기도 부천시 소사구 범박동 16-12,경기도 부천시 소사구 범박동,27400,,,0.01
판매시설,경기도 의정부시 용현동 277-5,경기도 의정부시 송산1동 ,56309,,1,0.01
판매시설,경기도 고양시 일산서구 구산동 1477-3,경기도 고양시 일산서구 가좌동 ,18136,,,0.03
판매시설,경기도 용인시 처인구 포곡읍 마성리 12-3,경기도 용인시 처인구 포곡읍,32744,,12,0.02
판매시설,경기도 파주시 탄현면 축현리 35-16,경기도 파주시 탄현면,14484,,48,0.06
판매시설,인천광역시 중구 신흥동1가 34-87,인천광역시 중구 신흥동 ,14505,,64,0.03
판매시설,인천 부평구 부개동 260-4,인천광역시 부평구 부개1동,15965,,2,0.02
판매시설,인천광역시 서구 원창동 497,인천광역시 서구 신현원창동,29945,,1,0.03
판매시설,인천광역시 서구 가좌동 564-73,인천광역시 서구 가좌1동,16935,,7,0.06
판매시설,인천 남동구 고잔동 731,인천광역시 남동구 논현고잔동 ,44096,,,0.04
판매시설,강원특별자치도 영월군 영월읍 하송리 171-3,강원특별자치도 영월군 영월읍,19506,,20,0.03
판매시설,강원특별자치도 양양군 양양읍 서문리 334,강원특별자치도 양양군 양양읍,11996,,32,0.04
판매시설,강원특별자치도 강릉시 사천면 판교리 678-2,강원특별자치도 강릉시 사천면,4680,,24,0.04
판매시설,강원특별자치도 동해시 단봉동 269-1,강원특별자치도 동해시 북평동 ,13192,,17,0.02
판매시설,강원특별자치도 춘천시 온의동 285-4,강원특별자치도 춘천시 강남동,25152,,35,0.03
판매시설,충청북도 제천시 청전동 5-1 ,충청북도 제천시 청전동,15563,,1,0.03
판매시설,충청북도 청주시 흥덕구 봉명동 530,충청북도 청주시 흥덕구 봉명2·송정동,24433,,11,0.03
판매시설,충청북도 청주시 청원구 북이면 옥수리 6-1,충청북도 청주시 청원구 북이면,4667,,3,0.06
판매시설,충청북도 충주시 봉방동 84-7,충청북도 충주시 봉방동,9028,,40,0.03
판매시설,충청북도 청주시 서원구 현도면 우록리 746,충청북도 청주시 서원구 현도면,3427,,2,0.05
판매시설,충청남도 천안시 서북구 신당동 488-7,충청남도 천안시 서북구 부성1동,51022,,7,0.02
판매시설,충청남도 천안시 서북구 두정동 801-1,충청남도 천안시 서북구 부성2동,62000,,,0.02
판매시설,충청남도 아산시 도고면 금산리 33-17,충청남도 아산시 도고면,4428,,18,0.03
판매시설,충청남도 당진시 시곡동 140-2,충청남도 당진시 당진3동,16496,,1,0.02
판매시설,충청남도 공주시 신관동 265-4,충청남도 공주시 신관동,23096,,36,0.03
