hd_nm,숙박업소수
자은면,5
아산면,5
용현3동,5
낭성면,5
주암면,5
광의면,5
율촌면,5
고촌읍,5
남천제1동,5
적상면,5
진동면,5
은현면,5
은진면,5
영산동,5
내당1동,5
전포제2동,5
관산동,5
이월면,5
역곡1동,5
역곡3동,5
안의면,5
역북동,5
신대방제1동,5
창제4동,5
장수읍,5
신사우동,5
연풍면,5
지보면,5
장림제2동,5
죽곡면,5
오성면,5
지저동,5
낙동면,5
오남읍,5
신림면,5
연천읍,5
봉산면,5
농암면,5
서석면,5
호평동,5
방화제2동,5
대명4동,5
효목2동,5
불은면,5
서부동,5
계룡면,5
축산면,5
통복동,5
학장동,5
퇴계원읍,5
덕암동,5
계산4동,5
북도면장봉출장소,5
계성면,5
효돈동,5
도암면,5
소하2동,5
발산제1동,5
개군면,5
사북면,5
칠서면,5
반월동,5
선부1동,5
산격2동,5
산격4동,5
선원면,5
산북면,5
하이면,5
산내동,5
사당제2동,5
다산1동,5
성내3동,5
서원동,5
도화동,5
미사1동,5
북삼동,5
삼양동,5
동문1동,5
농소1동,5
대화면,5
송학동,5
송학면,5
삼향읍남악출장소,5
화수1.화평동,5
청룡노포동,5
대합면,5
녹번동,5
수륜면,5
상갈동,5
흥천면,5
본오2동,5
상남면,5
봉래면,5
화원면,5
현내면,5
병천면,5
병암동,5
대연제5동,5
감삼동,5
팔덕면,5
화현면,5
두촌면,5
가야곡면,5
후평1동,5
중동,4
상계5동,4
삼성면,4
광장동,4
어진동,4
반송제2동,4
미성동,4
대덕면,4
중곡제3동,4
미산면,4
하남면,4
구의제2동,4
강천면,4
화도읍,4
공릉1동,4
하남동,4
삼계면,4
개운동,4
역곡2동,4
산솔면,4
삼일동,4
각남면,4
화서면,4
구정면,4
삼죽면,4
풍천면,4
미원면,4
덕풍3동,4
살미면,4
미로면,4
관문동,4
하일면,4
간석3동,4
호명읍,4
벌용동,4
범계동,4
범어3동,4
관촌면,4
오곡면,4
한산면,4
외산면,4
병영1동,4
오수면,4
왕징면,4
부창동,4
오천면어항출장소,4
오치2동,4
부암제1동,4
와동,4
행운동,4
조성면,4
조도면,4
본동,4
정자2동,4
온양6동,4
금사회동동,4
금일읍,4
영중면,4
관인면,4
