hd_nm,숙박업소수,lat,lon
동명면,38,35.9840337863385,128.553499118489
신장2동,38,37.1697708780842,127.065391041868
고성읍,38,34.9780627409928,128.319336171774
근화동,37,37.880716620367,127.712178775428
동문동,37,36.7898042277763,126.4591361147
팔룡동,37,35.2554256323431,128.612831808011
고남면,37,36.4204207894429,126.409110951842
화산동,37,37.2060319782521,127.014833684882
소공동,37,37.5638997702146,126.97979400965
옥포1동,37,34.8909812199304,128.692656286677
표선면,37,33.3267161050564,126.83098213169
신흥3동,37,37.4434875357522,127.148813337522
신탄진동,37,36.4517152153308,127.429101079908
성안동,37,36.6316706732217,127.493227287284
광도면,36,34.899816733574,128.406898172064
거창읍,36,35.688010089553,127.903914924402
초량제1동,36,35.1139466132853,129.036978077125
사천읍,36,35.0876951067403,128.087755616755
대륜동,36,33.255805716824,126.510159900758
상봉제2동,36,37.5929903188243,127.080873522447
초량제3동,36,35.1213070229154,129.039784953661
감포읍,36,35.8073787137645,129.501640236716
신관동,36,36.4722527778363,127.132657794031
강남동,35,37.7441722081056,128.905623339912
오천읍,35,35.9631089905042,129.414715591134
지산동,35,37.0774051123925,127.057583461173
휴천2동,35,36.810099861933,128.621768195735
오창읍,35,36.7423562993671,127.454499829132
중화산1동,35,35.8145858953738,127.124854086429
영종2동,35,37.4992873638912,126.568735630471
연지동,35,37.5737475791241,127.000131313214
덕연동,35,34.9483217212493,127.510726551755
강하면,35,37.4949573777617,127.410464187932
정방동,35,33.2458653684424,126.565248720149
양구읍,35,38.1080405251365,127.990430398263
둔내면,35,37.5122165122342,128.218832889124
이도1동,35,33.506940204328,126.526976882752
평리4동,34,35.8673363043504,128.556819725895
길상면,34,37.6416648973794,126.489222662087
정량동,34,34.8479425295669,128.435769681857
동인천동,34,37.4768011707515,126.629009570448
조양동,34,38.1876460540134,128.590848362527
중문동,34,33.2533312875494,126.433639283924
청호동,33,37.1297879893843,127.08423572355
안양6동,33,37.3900331135117,126.930578706707
성정1동,33,36.817943500518,127.141442613597
문경읍,33,36.7372964073235,128.107044342103
가리봉동,33,37.4825327471336,126.889718085071
당진1동,33,36.8931857914658,126.627123453099
송악읍,33,36.9032899512218,126.690244193974
해도동,33,36.0232879798442,129.371374866188
삼수동,33,37.1804618324004,128.977959273292
방이2동,33,37.5163879637604,127.111322597288
노학동,33,38.1898578919459,128.525468019074
구포제1동,33,35.2063951078771,129.001128574057
양양읍,32,38.0806715229116,128.624012188104
신정1동,32,37.5185381615639,126.854272909009
첨단1동,32,35.2195057621982,126.842401050001
신정2동,32,37.5220977070946,126.875243493723
도곡면,32,34.9961421462449,126.917500310564
동탄1동,32,37.2065228742697,127.071915895498
교동,32,37.273325896649,127.013065432691
남원읍,32,33.2798847892293,126.720665667691
의정부2동,32,37.7407854899454,127.04279066311
이도2동,32,33.4970469392181,126.535290947589
상평동,32,35.5615502611493,126.83376602516
남양동,32,37.1930203313884,126.821319091973
창신제1동,32,37.5707371209355,127.016368212448
일도1동,31,33.5150737360434,126.526342790761
조촌동,31,35.974453644408,126.737163222161
미조면,31,34.7120206495288,128.046036616919
남영동,31,37.5430061454345,126.973322683547
종로5.6가동,31,37.5720319758374,127.005071290563
단계동,31,37.3526136221706,127.934460509721
나운3동,31,35.9587982422936,126.689251951054
건입동,31,33.515032107982,126.531518045313
전곡읍,31,38.0280339296486,127.063864039262
양평읍,31,37.4864297288723,127.493513635969
부여읍,31,36.2755701058278,126.911170936552
대산읍,31,36.9396086255271,126.434317146792
서종면,31,37.6065762917832,127.348721243795
달동,31,34.7718846174699,126.312902273487
풍덕동,30,34.9418550411378,127.4973011506
비산7동,30,35.8882092414119,128.559137452069
취암동,30,36.1976453244327,127.093575384904
명곡동,30,35.344398478414,129.077582220954
금촌1동,30,37.7663443619159,126.775963044317
홍성읍,30,36.601469644599,126.662222238465
연산제4동,30,35.1862796387452,129.084942089482
장목면,30,34.9865258218334,128.682237779067
영랑동,30,38.2144249748234,128.594605409442
논현1동,30,37.5114706392719,127.028552712008
봉림동,30,35.2519257522822,128.667572368538
학성동,29,37.3535203041358,127.944182694542
웅동2동,29,35.1012017875109,128.814806700491
화촌면,29,37.7710054077675,127.966895174076
부평동,29,37.4910355141781,126.723090470976
창전동,29,37.549273643204,126.92977041133
예래동,29,33.2542812829967,126.397876776449
산내면,29,35.4192216747994,127.623223361139
강경읍,29,36.1581139641803,127.01795887547
월영동,29,35.1741600788586,128.558016561748
부안읍,29,35.7296006156516,126.736886839406
온양2동,29,36.778385802775,127.003441271391
동송읍,29,38.2072165163278,127.208191410563
범일제2동,28,35.1365207853125,129.062021505661
하단제2동,28,35.11454437564,128.960528569198
용당2동,28,34.7995550223721,126.399716840077
장천동,28,38.2144249748234,128.594605409442
중흥1동,28,35.1616781988718,126.913755347083
증평읍,28,36.7846371098648,127.581032220365
여흥동,28,37.2951248426236,127.639877544913
평화남산동,28,36.1205796668764,128.116164055476
해남읍,28,34.5652050470619,126.599187892847
하북면,28,35.4892594465853,129.086995475879
당산제1동,28,37.5249733938377,126.89738449562
