연도,도로종류,지점번호,호선,구간,차로,도/시,시/군,읍/면,동/리,구분, AADT ,XCODE,YCODE
2024,1,01526,15,매송IC-팔곡JCT,6,경기,화성,매송,송라,수시," 136,178 ",37.30502,126.89734
2024,1,01708,17.2,동안산·당수IC-남군포IC,4,경기,수원,권선,당수,수시," 88,940 ",37.30722,126.93224
2024,1,15303-1,153,남안산JCT-남안산IC,4,경기,안산,단원,성곡,수시," 62,158 ",37.30768,126.74978
2024,3,0421-04 ,421,남면-동면,2,강원,정선,화암,몰운2,수시, 579 ,37.31205,128.80939
2024,1,05010,50,북수원IC-동수원IC,9,경기,수원,장안,파장,수시," 181,236 ",37.31331,127.0234
2024,3,0341-05 ,341,번도리-백석리,2,경기,여주,세종대왕,구양,수시," 1,600 ",37.31723,127.5855
2024,2,0330-001,3,이천시-곤지암읍,6,경기,이천,신둔,수하,상시," 44,702 ",37.31793,127.42763
2024,5,23-11   ,23,기흥구-풍덕천동,6,경기,용인,기흥,보정,수시," 48,710 ",37.31955,127.10852
2024,1,17112,171.2,광교상현IC-서수지IC,6,경기,용인,수지,성복,수시," 129,617 ",37.31976,127.054
2024,1,05009,50,부곡IC-북수원IC,6,경기,의왕, ,삼,수시," 158,303 ",37.32023,126.97751
2024,5,82-16   ,82,주천면-평창읍,2,강원,평창,평창,마지,수시, 885 ,37.32101,128.36973
2024,1,01527,15,팔곡JCT-안산JCT,6,경기,안산,상록,팔곡1,수시," 116,066 ",37.32157,126.8802
2024,1,05006-1,50,둔대JCT-군포IC,6,경기,군포, ,둔대,수시," 152,340 ",37.32316,126.91121
2024,2,4209-002,42,여주시-원주시,4,강원,원주,문막,동화,상시," 32,881 ",37.32395,127.83897
2024,2,0721-002,7,근남면-삼척시,4,강원,삼척,근덕,궁촌,수시," 11,285 ",37.32428,129.26308
2024,3,0301-13 ,301,대부북동-정왕동,4,경기,시흥, ,정왕,수시," 26,544 ",37.32515,126.65538
2024,1,04513,45,서여주IC-북여주IC,4,경기,여주,세종대왕,구양,수시," 25,187 ",37.32595,127.5643
