행정구역,순위,2023년 수(명),비율(%),lat,lon
전라남도 여수시 시전동,146.0,41433.0,0.08,34.7574297498506,127.683911084027
경기도 수원시 권선구 평동,147.0,41423.0,0.08,37.2580664266839,126.994138199612
경기도 시흥시 정왕본동,148.0,41210.0,0.08,37.3493319363417,126.745994730301
서울특별시 강서구 방화1동,149.0,41019.0,0.08,37.5703442238475,126.817052873863
경기도 시흥시 목감동,150.0,40831.0,0.08,37.3918239301918,126.870188284126
경기도 평택시 동삭동,151.0,40772.0,0.08,37.0138927319355,127.097667874173
경상남도 김해시 활천동,152.0,40591.0,0.08,35.2289059830973,128.899839569841
서울특별시 서초구 양재1동,153.0,40223.0,0.08,37.4716393313202,127.026728803944
경기도 화성시 동탄3동,154.0,40221.0,0.08,37.2098747625873,127.058896137215
경기도 광주시 탄벌동,155.0,40204.0,0.08,37.4196788046505,127.246090873938
경기도 부천시 원미구 중1동,156.0,40175.0,0.08,37.5004861419023,126.766916423704
대구광역시 달서구 신당동,157.0,40157.0,0.08,35.8589615482178,128.498821737463
경기도 용인시 수지구 풍덕천2동,158.0,40115.0,0.08,37.3194480452124,127.088779154811
인천광역시 서구 가정1동,159.0,40079.0,0.08,37.5212976391801,126.676042358895
서울특별시 강서구 염창동,160.0,40045.0,0.08,37.553736243135,126.870985348962
경기도 고양시 일산동구 식사동,161.0,39963.0,0.08,37.6773400834298,126.813707127491
전라남도 순천시 덕연동,162.0,39932.0,0.08,34.9483217212493,127.510726551755
경기도 김포시 장기동,163.0,39915.0,0.08,37.6397252396071,126.671359353779
대구광역시 달서구 월성1동,164.0,39847.0,0.08,35.8195095136039,128.522846536405
경기도 평택시 고덕동,165.0,39837.0,0.08,37.0495355509021,127.032124505836
부산광역시 강서구 녹산동,166.0,39671.0,0.08,35.1191396429152,128.882378803697
서울특별시 성북구 종암동,167.0,39560.0,0.08,37.5990602270306,127.035212918853
경상남도 창원시 의창구 명곡동,168.0,39504.0,0.08,35.25697249784,128.650755416213
경상남도 거창군 거창읍,169.0,39265.0,0.08,35.688010089553,127.903914924402
경기도 안산시 단원구 와동,170.0,39238.0,0.08,37.3416625818339,126.825752438728
서울특별시 강남구 개포2동,171.0,39231.0,0.08,37.4898261143431,127.069133611378
경기도 수원시 장안구 정자3동,172.0,39224.0,0.08,37.2956937787336,126.992587897709
경상남도 창원시 성산구 반송동,173.0,39207.0,0.08,35.2404170963624,128.67319387935
충청남도 아산시 온양3동,174.0,39174.0,0.08,36.7835215129167,127.01289666649
경기도 김포시 통진읍,175.0,39166.0,0.08,37.6864801478808,126.600590689838
부산광역시 북구 화명1동,176.0,39161.0,0.08,35.2327838653509,129.013787946338
전북특별자치도 전주시 완산구 서신동,177.0,39132.0,0.08,35.8310848804564,127.115308857862
서울특별시 동대문구 용신동,178.0,39131.0,0.08,,
경상북도 구미시 선주원남동,179.0,39118.0,0.08,36.1425884596084,128.310193380143
경기도 용인시 수지구 신봉동,180.0,39020.0,0.08,37.3206447379732,127.083667546737
경기도 의정부시 의정부1동,181.0,38968.0,0.08,37.7322814632719,127.049138518109
충청남도 천안시 서북구 백석동,182.0,38968.0,0.08,36.8197488923031,127.115111448507
부산광역시 남구 대연3동,183.0,38962.0,0.08,35.1398669117903,129.103679952741
전라남도 무안군 삼향읍,184.0,38936.0,0.08,34.8231113964846,126.441602770842
대구광역시 동구 안심1동,185.0,38931.0,0.08,35.8704112725447,128.701618989961
경기도 의정부시 신곡1동,186.0,38662.0,0.07,37.7330999804034,127.056226989985
경기도 화성시 동탄9동,187.0,38437.0,0.07,37.1806505336024,127.138381834449
인천광역시 연수구 송도1동,188.0,38403.0,0.07,37.39104476025,126.652144103433
전라남도 화순군 화순읍,189.0,38380.0,0.07,35.0599399781348,126.984565050764
서울특별시 양천구 목5동,190.0,38370.0,0.07,37.53717991831,126.881717459292
전라남도 나주시 빛가람동,191.0,38238.0,0.07,35.0218010353355,126.790327011452
경기도 부천시 오정구 성곡동,192.0,38220.0,0.07,37.5166842652465,126.8035242278
인천광역시 부평구 부평4동,193.0,38156.0,0.07,37.5008248454396,126.724985909611
경기도 수원시 권선구 서둔동,194.0,38146.0,0.07,37.2726049621063,126.986041722962
경기도 하남시 감일동,195.0,38136.0,0.07,37.5082861885184,127.147467026542
경기도 김포시 장기본동,196.0,37968.0,0.07,37.6522966561287,126.67169831222
경기도 용인시 기흥구 구성동,197.0,37947.0,0.07,37.2967586948267,127.118987776165
서울특별시 강동구 상일1동,198.0,37935.0,0.07,37.5506429952456,127.164620395091
인천광역시 서구 연희동,199.0,37926.0,0.07,37.5489749699658,126.678203978634
경상북도 경산시 하양읍,200.0,37880.0,0.07,35.9123764824826,128.812326497497
인천광역시 남동구 서창2동,201.0,37717.0,0.07,37.426832332921,126.748516942196
전라남도 순천시 왕조1동,202.0,37680.0,0.07,34.9621782702181,127.520780605096
충청남도 홍성군 홍성읍,203.0,37640.0,0.07,36.601469644599,126.662222238465
서울특별시 마포구 성산2동,204.0,37637.0,0.07,37.5686128513415,126.908969977715
대전광역시 서구 도안동,205.0,37587.0,0.07,36.3236309850031,127.346740231544
경상남도 창원시 성산구 가음정동,206.0,37578.0,0.07,35.2083719827534,128.68524284168
경기도 평택시 세교동,207.0,37556.0,0.07,37.0110645685423,127.08173595114
경기도 안산시 상록구 본오1동,208.0,37461.0,0.07,37.2850848274388,126.864241834055
경상북도 구미시 고아읍,209.0,37332.0,0.07,36.2108902055951,128.32856234649
경기도 용인시 처인구 유림동,210.0,37279.0,0.07,37.2559417124589,127.20772272169
경기도 용인시 기흥구 신갈동,211.0,37250.0,0.07,37.272546586554,127.107034404588
제주특별자치도 제주시 애월읍,212.0,37245.0,0.07,33.4621910539136,126.328972924341
경기도 남양주시 평내동,213.0,37209.0,0.07,37.6483691097275,127.23609678062
인천광역시 부평구 부평5동,214.0,37201.0,0.07,37.4989573464571,126.730977360585
전북특별자치도 익산시 모현동,215.0,37087.0,0.07,35.9481822061805,126.945468232545
경기도 의왕시 오전동,216.0,37041.0,0.07,37.3535981802237,126.971579428472
서울특별시 중랑구 신내1동,217.0,37020.0,0.07,37.6058746703089,127.099496657031
서울특별시 구로구 오류2동,218.0,37004.0,0.07,37.4887786989241,126.839536320952
경상남도 김해시 장유2동,219.0,36952.0,0.07,35.1971033599817,128.797742392563
경기도 오산시 중앙동,220.0,36923.0,0.07,37.1523254771938,127.073138826415
서울특별시 동대문구 장안1동,221.0,36833.0,0.07,37.5677895234585,127.066439189872
경기도 오산시 신장1동,222.0,36826.0,0.07,37.1766424017749,127.054568787777
부산광역시 사하구 다대1동,223.0,36823.0,0.07,35.0591517638253,128.971316010861
충청남도 천안시 서북구 쌍용2동,224.0,36755.0,0.07,36.7962722645168,127.123188478788
경기도 안산시 상록구 월피동,225.0,36737.0,0.07,37.3359971587617,126.846767895666
경기도 수원시 장안구 정자2동,226.0,36649.0,0.07,37.2950380547778,127.000442105733
서울특별시 관악구 청룡동,227.0,36618.0,0.07,37.4790955291818,126.941675584432
경기도 화성시 반월동,228.0,36612.0,0.07,37.2330741028273,127.060595508341
인천광역시 부평구 부평1동,229.0,36420.0,0.07,37.4942717667343,126.719966543878
경기도 화성시 병점1동,230.0,36391.0,0.07,37.2068704264907,127.037273875101
전북특별자치도 전주시 완산구 효자5동,231.0,36380.0,0.07,35.8270944078686,127.094289395761
인천광역시 중구 운서동,232.0,36359.0,0.07,37.4933298817888,126.48834389365
광주광역시 북구 양산동,233.0,36333.0,0.07,35.2091686314056,126.879717024296
서울특별시 서대문구 연희동,234.0,36299.0,0.07,37.5739100104158,126.935230751932
