대분류,지번주소 (읍/면/동),관할주소,인구[명],교통량(AADT),숙박업소(관광지수),상권밀집도(비율),위도,경도
가설건축,울산광역시 중구 학성동 397-1번지 일원,울산광역시 중구 학성동,"10,635",24520,23,0.03,35.558801,129.33277
가설건축,울산광역시 남구 야음동 363-2번지 일원(야음장생포동),울산광역시 남구 야음장생포동,"8,939",23213,5,0.05,35.518477,129.336771
가설건축,울산광역시 울주군 언양읍 동부리 84-5,울산광역시 울주군 언양읍,"31,333",53247,11,0.02,35.565612,129.128164
가설건축,대구광역시 수성구 만촌2동 1036-26,대구광역시 수성구 만촌2동,"10,182",63177,1,0.02,35.85923,128.64135
가설건축,대구광역시 중구 공평동 58-1번지 일원(성내1동),대구광역시 중구 성내1동,"4,752",135921,17,0.22,35.869315,128.598919
가설건축,대구광역시 달서구 상인동 1332-100(상인2동),대구광역시 달서구 상인2동,"18,225",111796,3,0.02,35.809497,128.541432
가설건축,대구광역시 달서구 월성동 1874,대구광역시 달서구 감삼동,"28,856",66579,5,0.02,35.82085,128.520132
가설건축,대구광역시 달서구 두류동 138-2번지(두류1·2동),대구광역시 달서구 두류1·2동,"15,023",66579,7,0.02,35.857475,128.560152
가설건축,부산광역시 해운대구광역시 재송동 856-6번지 일원(재송1동),부산광역시 해운대구광역시 재송1동,"35,710",48622,,0.03,35.185952,129.118999
가설건축,부산광역시 남구 우암동 198-3번지 일원,부산광역시 남구 우암동,"11,943",134118,,0.01,35.128183,129.071748
가설건축,부산광역시 남구 대연동 455-25번지(대연3동),부산광역시 남구 대연3동,"38,962",48622,,0.02,35.136651,129.105974
가설건축,부산광역시 기장군 장안읍 좌동리 252,부산광역시 기장군 장안읍,"9,024",32370,4,0.05,35.321853,129.23914
가설건축,부산광역시 수영구 광안동 1239-21(광안4동),부산광역시 수영구 광안4동,"13,254",48622,3,0.02,35.156078,129.107957
가설건축,전북특별자치도 군산시 미장동 535번지(미성동),전북특별자치도 군산시 미성동,"10,806",13290,,0.04,35.963839,126.728906
가설건축,전북특별자치도 전주시 덕진구 인후동2가 1560번지(인후2동),전북특별자치도 전주시 덕진구 인후2동,"10,679",27659,,0.03,35.846105,127.148448
가설건축,전북특별자치도 익산시 송학동 245-25번지,전북특별자치도 익산시 송학동,"8,695",7118,5,0.01,35.942438,126.93625
가설건축,전북특별자치도 완주군 삼례읍 수계리 322-2번지,전북특별자치도 완주군 삼례읍,"22,353",34673,8,0.02,','
가설건축,전북특별자치도 전주시 덕진구 우아동3가 747-81번지 일원(우아1동),전북특별자치도 전주시 덕진구 우아1동,"12,091",27659,,0.03,','
가설건축,전라남도 순천시 가곡동 359-3번지(삼산동),전라남도 순천시 삼산동,"28,506",31469,7,0.02,34.979889,127.485539
가설건축,전라남도 광양시 마동 1344번지(중마동),전라남도 광양시 중마동,"56,681",11124,42,0.02,34.946532,127.71384
가설건축,전라남도 화순군 화순읍 삼천리 703번지 일원,전라남도 화순군 화순읍,"38,380",14142,10,0.02,35.055982,126.982206
가설건축,전라남도 순천시 덕암동 45번지 일원(덕연동),전라남도 순천시 덕연동,"39,932",3801,35,0.03,34.944707,127.511115
가설건축,전라남도 목포시 상동 1123번지 2층,전라남도 목포시 상동,"21,500",9845,16,0.01,34.798878,126.430025
가설건축,광주광역시 남구 월산동 141-4,광주광역시 남구 월산동,"8,388",97671,4,0.02,35.143911,126.900819
가설건축,광주광역시 북구 중흥동 323-5,광주광역시 북구 중흥동,"15,147",97671,2,0.02,35.168427,126.906647
가설건축,광주광역시 서구 치평동 1163-1,광주광역시 서구 치평동,"29,447",101257,59,0.04,35.156855,126.840907
가설건축,광주광역시 북구 매곡동 산131-1번지 일원,광주광역시 북구 매곡동,"13,254",134317,1,0.02,35.188048,126.886154
가설건축,광주광역시 서구 화정동 744-13번지(화정1동),광주광역시 서구 화정1동,"15,641",134317,10,0.02,35.15215,126.87401
가설건축,제주특별자치도 제주시 오라2동 1585-1,제주특별자치도 제주시 오라2동,"15,735",14084,,0.03,33.480568,126.514953
가설건축,제주특별자치도 제주시 화북2동 5563 일원,제주특별자치도 제주시 화북2동,"23,355",35338,,0.02,33.489626,126.553926
가설건축,제주특별자치도 제주시 도남동 205번지(이도2동),제주특별자치도 제주시 이도2동,"48,436",14084,32,0.03,33.482441,126.531552
가설건축,제주특별자치도 제주시 건입동 167번지,제주특별자치도 제주시 건입동,"9,010",33186,31,0.02,33.508173,126.5494
가설건축,제주특별자치도 제주시 연동 276-1,제주특별자치도 제주시 연동,"43,976",54135,133,0.03,33.483569,126.490121
기타,강원특별자치도 강릉시 강문동 182(초당동),강원특별자치도 강릉시 초당동,"4,433",23079,46,0.03,37.795781,128.917673
기타,강원특별자치도 춘천시 후평동 67-7(후평3동),강원특별자치도 춘천시 후평3동,"19,331",26024,4,0.01,37.878822,127.751135
기타,강원특별자치도 원주시 흥업면 흥업리 584-1,강원특별자치도 원주시 흥업면,"15,011",23372,7,0.02,37.301499,127.919688
기타,강원특별자치도 영월군 영월읍 영흥리 924-4,강원특별자치도 영월군 영월읍,"19,506",3392,20,0.03,37.18224,128.471123
기타,강원특별자치도 동해시 천곡동 1070,강원특별자치도 동해시 천곡동,"29,530",15240,26,0.03,37.521595,129.114028
기타,경기도 김포시 고촌읍 신곡리 532-87,경기도 김포시 고촌읍,"46,560",207458,5,0.02,37.600229,126.772305
기타,경기도 광명시 철산동 63(철산 1동),경기도 광명시 철산 1동,"10,263",113301,,0.01,37.486821,126.865652
기타,경기도 여주시 창동 138-7(중앙동),경기도 여주시 중앙동,"24,782",14346,9,0.02,37.29532,127.633474
기타,경기도 오산시 원동 812-5(대원1동),경기도 오산시 대원1동,"47,912",204646,69,0.02,37.147526,127.075348
기타,경기도 안양시 만안구 안양동 842-2(안양2동),경기도 안양시 만안구 안양2동,"23,710",64576,,0.02,37.405058,126.917786
기타,서울특별시 동대문구 신설동 114-29(용신동),서울특별시 동대문구 용신동,"39,131",25582,,0.04,37.572513,127.024248
기타,서울특별시 서초구 서초동 1673-6(서초1동),서울특별시 서초구 서초1동,"19,722",203917,2,0.05,37.493931,127.015336
기타,서울특별시 양천구 신정동 321-4(신정6동),서울특별시 양천구 신정6동,"22,574",190133,,0.01,37.517048,126.866477
기타,서울특별시 중구 서소문동 57-9(소공동),서울특별시 중구 소공동,"2,717",196415,37,0.35,37.562978,126.972143
